"ï..Date","Price","Open","High","Low","Vol.","Change.."
"Dec 06, 2021",15380.79,15323.2,15415.46,15150.54,"74.84M","1.39%"
"Dec 03, 2021",15169.98,15422.9,15422.9,15101.71,"80.65M","-0.61%"
"Dec 02, 2021",15263.11,15300.73,15373.52,15172.9,"93.61M","-1.35%"
"Dec 01, 2021",15472.67,15233.37,15509.46,15187.09,"86.13M","2.47%"
"Nov 30, 2021",15100.13,15117.63,15280.04,15015.42,"152.64M","-1.18%"
"Nov 29, 2021",15280.86,15418.28,15441.91,15237.87,"95.66M","0.16%"
"Nov 26, 2021",15257.04,15383.9,15540.29,15244.46,"133.31M","-4.15%"
"Nov 25, 2021",15917.98,15928.38,15962.54,15865.41,"57.28M","0.25%"
"Nov 24, 2021",15878.39,15942.28,15974.3,15740.6,"87.89M","-0.37%"
"Nov 23, 2021",15937,15987.2,16054.38,15866.01,"91.00M","-1.11%"
"Nov 22, 2021",16115.69,16188.54,16202.77,16090.54,"65.47M","-0.27%"
"Nov 19, 2021",16159.97,16269.22,16282.87,16092.63,"105.50M","-0.38%"
"Nov 18, 2021",16221.73,16262.29,16290.19,16193.34,"57.89M","-0.18%"
"Nov 17, 2021",16251.13,16248.32,16283.52,16240.51,"54.13M","0.02%"
"Nov 16, 2021",16247.86,16174.31,16266.26,16157.58,"56.78M","0.61%"
"Nov 15, 2021",16148.64,16109.41,16149.87,16072.29,"53.30M","0.34%"
"Nov 12, 2021",16094.07,16100.08,16122.76,16065.06,"60.30M","0.07%"
"Nov 11, 2021",16083.11,16067.34,16114.55,16032.5,"56.63M","0.10%"
"Nov 10, 2021",16067.83,16053,16076.56,15985.9,"62.12M","0.17%"
"Nov 09, 2021",16040.47,16026.74,16104.13,16022.64,"61.43M","-0.04%"
"Nov 08, 2021",16046.52,16040.85,16068.73,16016.2,"48.90M","-0.05%"
"Nov 05, 2021",16054.36,16011.57,16084.9,16008.4,"75.30M","0.15%"
"Nov 04, 2021",16029.65,16035.9,16064.79,15997.63,"76.26M","0.44%"
"Nov 03, 2021",15959.98,15957.15,15972.71,15922.1,"74.35M","0.03%"
"Nov 02, 2021",15954.45,15825.27,15960.21,15824.11,"60.60M","0.94%"
"Nov 01, 2021",15806.29,15764.55,15849.4,15760.35,"49.16M","0.75%"
"Oct 29, 2021",15688.77,15579.9,15689.66,15495.51,"80.57M","-0.05%"
"Oct 28, 2021",15696.33,15681.52,15706.39,15629.33,"78.88M","-0.06%"
"Oct 27, 2021",15705.81,15725.4,15744.79,15671.59,"73.43M","-0.33%"
"Oct 26, 2021",15757.06,15652.91,15781,15650.35,"56.06M","1.01%"
"Oct 25, 2021",15599.23,15580.58,15618.88,15531.95,"51.30M","0.36%"
"Oct 22, 2021",15542.98,15507.99,15614.76,15492.29,"49.95M","0.46%"
"Oct 21, 2021",15472.56,15408.8,15532.94,15406.59,"54.65M","-0.32%"
"Oct 20, 2021",15522.92,15473.56,15567.07,15465.03,"54.74M","0.05%"
"Oct 19, 2021",15515.83,15510.99,15527.97,15457.43,"49.58M","0.27%"
"Oct 18, 2021",15474.47,15518.59,15542.17,15416.02,"49.46M","-0.72%"
"Oct 15, 2021",15587.36,15481.22,15598.58,15465.93,"73.67M","0.81%"
"Oct 14, 2021",15462.72,15350.72,15464.38,15303.39,"60.00M","1.40%"
"Oct 13, 2021",15249.38,15130.8,15302.43,15109.61,"69.66M","0.68%"
"Oct 12, 2021",15146.87,15025.35,15174.29,15012.07,"60.96M","-0.34%"
"Oct 11, 2021",15199.14,15115.46,15202.74,15094.44,"75.31M","-0.05%"
"Oct 08, 2021",15206.13,15242.76,15267.92,15184.76,"59.53M","-0.29%"
"Oct 07, 2021",15250.86,15162.75,15253.29,15116.47,"76.33M","1.85%"
"Oct 06, 2021",14973.33,15040.1,15049.49,14818.71,"96.19M","-1.46%"
"Oct 05, 2021",15194.49,15055.4,15202.2,15011.44,"60.53M","1.05%"
"Oct 04, 2021",15036.55,15061.86,15175.25,15016.93,"52.65M","-0.79%"
"Oct 01, 2021",15156.44,15041.6,15262.75,14983.8,"66.03M","-0.68%"
"Sep 30, 2021",15260.69,15434.33,15448.52,15246,"74.66M","-0.68%"
"Sep 29, 2021",15365.27,15357,15422.75,15301.35,"56.30M","0.77%"
"Sep 28, 2021",15248.56,15542.03,15542.41,15232.97,"75.17M","-2.09%"
"Sep 27, 2021",15573.88,15699.01,15704.05,15552.09,"59.03M","0.27%"
"Sep 24, 2021",15531.75,15562.14,15573.46,15497.17,"49.97M","-0.72%"
"Sep 23, 2021",15643.97,15630.01,15695.65,15593.72,"54.65M","0.88%"
"Sep 22, 2021",15506.74,15463.24,15508.42,15378.93,"54.14M","1.03%"
"Sep 21, 2021",15348.53,15265.03,15394.33,15205.7,"61.55M","1.43%"
"Sep 20, 2021",15132.06,15259.5,15262.76,15019.49,"96.69M","-2.31%"
"Sep 17, 2021",15490.17,15774.57,15791.9,15455.54,"158.39M","-1.03%"
"Sep 16, 2021",15651.75,15666.63,15745.19,15638.23,"54.36M","0.23%"
"Sep 15, 2021",15616,15731.48,15740.01,15613.72,"58.97M","-0.68%"
