"ï..Date","Price","Open","High","Low","Vol.","Change.."
"Dec 03, 2021",34579.55,34718.95,34801.31,34265.17,"419.61M","-0.18%"
"Dec 02, 2021",34641.7,34076.25,34759.65,34076.25,"443.93M","1.82%"
"Dec 01, 2021",34021.61,34773.76,35004.42,34014.41,"481.43M","-1.34%"
"Nov 30, 2021",34484.18,35056.99,35056.99,34426.68,"592.20M","-1.85%"
"Nov 29, 2021",35135.78,35236.04,35282.11,34896.95,"392.37M","0.65%"
"Nov 26, 2021",34908.1,35127.45,35153.58,34750.02,"293.49M","-2.51%"
"Nov 24, 2021",35805.17,35752.31,35825.11,35592.54,"263.33M","-0.02%"
"Nov 23, 2021",35813.74,35619.92,35841.52,35542.99,"364.51M","0.55%"
"Nov 22, 2021",35619.26,35631.41,35929.02,35617.83,"399.04M","0.05%"
"Nov 19, 2021",35602.18,35809.9,35809.9,35556.85,"389.34M","-0.75%"
"Nov 18, 2021",35871.34,35901.69,35944.9,35654.39,"420.67M","-0.17%"
"Nov 17, 2021",35931.52,36159.7,36159.7,35909.5,"338.88M","-0.59%"
"Nov 16, 2021",36144.13,36076.18,36316.52,36076.18,"287.97M","0.16%"
"Nov 15, 2021",36087.98,36155.81,36234.66,36035.07,"264.18M","-0.03%"
"Nov 12, 2021",36100.37,35963.78,36147.5,35934.82,"273.83M","0.50%"
"Nov 11, 2021",35921.24,36093.78,36102.53,35916.4,"260.79M","-0.44%"
"Nov 10, 2021",36079.54,36214.42,36346.61,36009.75,"267.10M","-0.66%"
"Nov 09, 2021",36320.5,36404.53,36416.21,36173.79,"242.21M","-0.30%"
"Nov 08, 2021",36431.39,36472.63,36565.73,36334.57,"269.41M","0.28%"
"Nov 05, 2021",36329.07,36268.75,36483.13,36190.2,"332.69M","0.57%"
"Nov 04, 2021",36124.66,36107.46,36166.79,35986.65,"297.06M","-0.09%"
"Nov 03, 2021",36157.02,35989.01,36178.05,35891.73,"246.54M","0.29%"
"Nov 02, 2021",36053.09,35947.35,36088.32,35886.16,"290.99M","0.39%"
"Nov 01, 2021",35913.68,35920.1,36008.22,35799.49,"282.29M","0.26%"
"Oct 29, 2021",35819.59,35643.35,35852.28,35634.39,"373.25M","0.25%"
"Oct 28, 2021",35729.89,35545.41,35741.17,35545.41,"327.61M","0.67%"
"Oct 27, 2021",35491.48,35835.43,35835.43,35490.83,"338.08M","-0.74%"
"Oct 26, 2021",35755.83,35850.04,35892.89,35735.6,"300.89M","0.03%"
"Oct 25, 2021",35743.78,35692.62,35787.04,35629.85,"253.33M","0.19%"
"Oct 22, 2021",35677.68,35607.72,35764.71,35535.18,"332.86M","0.21%"
"Oct 21, 2021",35601.96,35526.08,35610.16,35442.55,"286.02M","-0.02%"
"Oct 20, 2021",35609.93,35466,35669.2,35466,"255.54M","0.43%"
"Oct 19, 2021",35458.37,35390.24,35458.91,35295.25,"264.80M","0.57%"
"Oct 18, 2021",35259.01,35150.55,35326.72,35036.87,"293.23M","-0.10%"
"Oct 15, 2021",35295.48,35023.63,35319.87,35023.63,"311.66M","1.10%"
"Oct 14, 2021",34911.7,34443.22,34923.63,34443.22,"312.38M","1.55%"
