"Date","Daily cases","Percentage Difference"
2020-01-31,4,1.02524526980172
2020-02-21,1,0.652273408404952
2020-02-24,1,0.831436941149626
2020-02-25,1,2.66135265287771
2020-02-26,1,1.60013524588971
2020-02-27,1,2.16030077239802
2020-03-03,9,2.53130635451463
2020-03-05,12,1.3771282900367
2020-03-06,6,1.52243339117195
2020-03-09,15,4.99014755052886
2020-03-11,26,3.66097561098914
2020-03-12,38,8.90691536319644
2020-03-13,38,8.41798178445305
2020-03-16,88,7.826839143395
2020-03-17,99,6.22552638600249
2020-03-18,157,9.34429523631283
2020-03-19,276,7.88901261234093
2020-03-20,131,7.03751935934537
2020-03-23,620,6.05728710676112
2020-03-24,701,6.26243769805927
2020-03-25,617,9.11990114877014
2020-03-26,634,3.39685608720993
2020-03-27,646,2.60452538793431
2020-03-30,1179,3.90196178808523
2020-03-31,1111,3.55610020456807
2020-04-01,1065,2.49767543962112
2020-04-02,1670,2.50366542778389
2020-04-03,1254,2.62916852916115
2020-04-06,1155,2.251788049721
2020-04-07,1230,3.55501654858008
2020-04-08,1392,2.73288491261969
2020-04-09,1476,2.2477143223297
2020-04-13,1297,2.1953281453796
2020-04-14,1383,2.3130065511067
2020-04-15,1318,1.21765787429998
2020-04-16,1711,1.30461693692787
2020-04-17,1792,2.01440672683937
2020-04-20,2045,3.03649394045368
2020-04-21,1591,2.60268472978872
2020-04-22,1769,1.35125624604124
2020-04-23,1920,1.28187817106878
2020-04-24,1778,1.33140648266001
2020-04-27,1605,1.68650320156279
2020-04-28,1526,1.33695957401881
2020-04-29,1571,1.69068593522801
2020-04-30,1639,2.32716261562074
2020-05-01,1825,0.966368975550046
2020-05-04,1298,1.55076115675877
2020-05-05,1274,1.20911401843913
2020-05-06,1449,1.11486048895114
2020-05-07,1426,1.34219320529527
2020-05-08,1512,0.58291606666824
2020-05-11,1133,1.77501370271375
2020-05-12,1175,2.02021672302537
2020-05-13,1121,3.26215443072516
2020-05-14,1211,2.5441334834609
2020-05-15,1126,1.44095939255468
2020-05-19,1040,0.861149546657029
2020-05-20,1011,0.550168914643495
2020-05-21,1201,1.44778370615567
2020-05-22,1156,0.661115224402035
2020-05-25,1012,0.708948414077898
2020-05-26,936,0.595107745109405
2020-05-27,872,2.19579573313452
2020-05-28,993,0.755660071021378
2020-05-29,906,0.998770464707192
2020-06-01,758,0.709727890169849
2020-06-02,705,0.777752218821806
2020-06-03,675,0.801077911630011
2020-06-04,641,0.867057570118016
2020-06-05,609,0.688631266386581
2020-06-08,545,0.830710179715983
2020-06-09,409,0.856690436519435
2020-06-10,472,1.60702170072016
2020-06-11,405,2.53675473733816
2020-06-12,413,2.00907495980269
2020-06-15,360,3.34588766852252
2020-06-16,320,1.61206715351899
2020-06-17,386,1.01790330248508
2020-06-18,367,1.17932933743723
2020-06-19,409,1.29492658407081
2020-06-22,300,0.713065654771509
2020-06-23,326,0.975435921516426
2020-06-24,279,2.25176463694083
2020-06-25,380,1.77998658491598
2020-06-26,172,1.55887145403698
2020-06-29,668,1.58260441157508
2020-06-30,286,1.58980448826015
