"Date","Daily cases","Change in price"
2020-03-02,209,-1.43305179351752
2020-03-03,85,-0.230332654627548
2020-03-04,154,1.1265289649692
2020-03-05,184,-2.0234739049872
2020-03-06,186,-1.3056498064057
2020-03-09,347,-0.608601619445313
2020-03-10,602,-2.32625142424508
2020-03-11,757,-1.53907101119144
2020-03-12,990,-7.12551411751229
2020-03-13,1452,-2.62320188845222
2020-03-16,2049,0.157759426612657
2020-03-17,3045,-2.21054854028532
2020-03-18,3609,-1.99272060232083
2020-03-19,4057,1.34758484640899
2020-03-20,4048,-1.66885267204742
2020-03-23,3730,2.39939177609113
2020-03-24,4884,4.9611233859118
2020-03-25,5688,-1.13253038587737
2020-03-26,5913,3.94668462692958
2020-03-27,5993,-1.64374329912697
2020-03-30,4127,0.926291502671225
2020-03-31,6064,-0.35052388025423
2020-04-01,6264,-0.685904312602556
2020-04-02,6553,-0.173455924150854
2020-04-03,6192,-0.0996301101070027
2020-04-06,3675,1.88228774712989
2020-04-07,5196,-1.02646092214245
2020-04-08,5280,0.304128695071425
2020-04-09,4917,0.706247944598287
2020-04-14,2469,-0.348519699607879
2020-04-15,3327,-3.73125033362396
2020-04-16,3421,-1.13931898052447
2020-04-17,3051,0.173747448703025
2020-04-20,1727,-0.265779799801022
2020-04-21,2189,-2.56277900724754
2020-04-22,2496,0.431812154962519
2020-04-23,2085,0.732080273018724
2020-04-24,1907,0.357111301630892
2020-04-27,1117,1.03231236263242
2020-04-28,1461,1.28686387445853
2020-04-29,1436,2.72826314144241
2020-04-30,1461,-2.97957787303677
2020-05-04,729,-0.726144227267221
2020-05-05,1092,0.963482879100255
2020-05-06,1220,-1.02934630770652
2020-05-07,1198,1.11364121205514
2020-05-08,981,0.202528109504845
2020-05-11,688,-1.12575171899776
2020-05-12,855,0.387465275651484
2020-05-13,911,-1.19334694784156
2020-05-14,806,-0.777689469420356
2020-05-15,718,-0.0542458348653671
2020-05-18,547,3.51006097047322
2020-05-19,730,-1.1216042967899
2020-05-20,833,1.76239173186403
2020-05-21,418,-0.200124096781064
2020-05-22,529,1.62982228797351
2020-05-25,414,1.8347869308531
2020-05-26,617,0.136304409700068
2020-05-27,647,1.10570501812631
2020-05-28,528,0.292420561209102
2020-05-29,449,-0.536681382770059
2020-06-02,305,1.04718115107551
2020-06-03,499,2.80099315722574
2020-06-04,529,0.327117852014877
2020-06-05,438,2.24843933543226
2020-06-08,299,0.761710582990375
2020-06-09,428,-1.88058473556805
2020-06-10,516,-1.48586973186101
2020-06-11,278,-2.07086069201581
2020-06-12,350,0.614162275583223
2020-06-15,260,2.1437465269917
2020-06-16,542,1.21043327906695
2020-06-17,979,0.566094129189656
2020-06-18,634,-0.534197638548394
2020-06-19,932,-0.358944273941875
2020-06-22,488,0.561647565127827
2020-06-23,548,1.32418129641451
2020-06-24,504,-2.93640111687096
2020-06-25,570,0.62484248796712
2020-06-26,574,-1.77999233049085
2020-06-29,420,1.172085975579
2020-06-30,461,0.187094012503314
2020-07-01,484,-1.05836800702404
2020-07-02,470,1.85526868517142
2020-07-03,426,-0.920709235563008
2020-07-06,320,-0.323450050372725
2020-07-07,391,-0.341940697104056
2020-07-08,452,-0.380862629538743
2020-07-09,429,-1.18449233612651
2020-07-10,426,1.53903403090445
2020-07-13,327,-0.134350821045808
2020-07-14,465,0.436078128621304
2020-07-15,537,0.92779409480561
2020-07-16,557,0.137431653613123
2020-07-17,523,0.0336036335283749
2020-07-20,458,1.1537349270552
2020-07-21,521,-0.175067241736033
2020-07-22,699,-0.463643413855683
2020-07-23,700,-0.60765350627679
