"Date","Daily cases","Percentage Difference"
2020-03-02,209,4.18567494713899
2020-03-03,85,3.02872520503677
2020-03-04,154,2.24277282248044
2020-03-05,184,3.01746377218312
2020-03-06,186,2.77942288102924
2020-03-09,347,4.06999674274053
2020-03-10,602,5.67099750701314
2020-03-11,757,3.50719603024593
2020-03-12,990,8.32060940619808
2020-03-13,1452,9.66970806942839
2020-03-16,2049,8.26185814584888
2020-03-17,3045,8.22300476564773
2020-03-18,3609,3.16602999661991
2020-03-19,4057,4.85584021278493
2020-03-20,4048,4.02198081196849
2020-03-23,3730,6.73290252298673
2020-03-24,4884,6.36502977757497
2020-03-25,5688,6.90572201078347
2020-03-26,5913,4.86287539438718
2020-03-27,5993,3.54488184842401
2020-03-30,4127,3.77473237404845
2020-03-31,6064,3.96499042943795
2020-04-01,6264,1.96418881691531
2020-04-02,6553,3.29957566350964
2020-04-03,6192,1.63921721408477
2020-04-06,3675,2.56605211948562
2020-04-07,5196,3.51076100757947
2020-04-08,5280,1.38828502444861
2020-04-09,4917,3.22582030189648
2020-04-14,2469,1.50108500670186
2020-04-15,3327,4.15920616787676
2020-04-16,3421,1.95534522779391
2020-04-17,3051,2.01009507739389
2020-04-20,1727,2.48450963650478
2020-04-21,2189,2.64631102048753
2020-04-22,2496,1.00085702359273
2020-04-23,2085,2.70647526691665
2020-04-24,1907,1.80084654027898
2020-04-27,1117,1.2959167199315
2020-04-28,1461,2.28535365253789
2020-04-29,1436,3.06485961358657
2020-04-30,1461,3.59023631849248
2020-05-04,729,1.45083265530371
2020-05-05,1092,2.05129025413662
2020-05-06,1220,1.63722420501611
2020-05-07,1198,1.35300426725367
2020-05-08,981,0.913173108639078
2020-05-11,688,2.25893633002931
2020-05-12,855,1.04743660598405
2020-05-13,911,1.58099154672149
2020-05-14,806,3.03552658424025
2020-05-15,718,1.573360000344
2020-05-18,547,3.78535968635118
2020-05-19,730,2.39514844888142
2020-05-20,833,2.4147060040998
2020-05-21,418,1.42147542509996
2020-05-22,529,2.46285898137359
2020-05-25,414,2.4270749109261
2020-05-26,617,0.996507826377651
2020-05-27,647,1.95496018604915
2020-05-28,528,1.3491580226155
2020-05-29,449,1.32362355679206
2020-06-02,305,1.71698128203444
2020-06-03,499,3.03322374681984
2020-06-04,529,1.86299361695629
2020-06-05,438,2.3494255080259
2020-06-08,299,1.89320858909133
2020-06-09,428,2.85768798960553
2020-06-10,516,2.32082885046335
2020-06-11,278,2.73283388760164
2020-06-12,350,2.86626260505164
2020-06-15,260,3.14216995079326
2020-06-16,542,2.45426092733078
2020-06-17,979,1.16551512111454
2020-06-18,634,2.38450062435381
2020-06-19,932,1.03333799019152
2020-06-22,488,1.84970467806389
2020-06-23,548,2.2768758652922
2020-06-24,504,3.21602005924375
2020-06-25,570,2.30761886221122
2020-06-26,574,2.34804988786621
2020-06-29,420,2.07386618050244
2020-06-30,461,1.32249645861758
2020-07-01,484,2.4226083980654
2020-07-02,470,2.29694564960732
2020-07-03,426,1.38381946111038
2020-07-06,320,1.46977386284308
2020-07-07,391,1.07947574673533
2020-07-08,452,1.64697110340381
2020-07-09,429,1.99071550377372
2020-07-10,426,1.86143518008766
2020-07-13,327,1.15547876914518
2020-07-14,465,1.28407085572888
