"Date","Daily cases","Change in price"
2020-01-22,0,-0.264355447359062
2020-01-23,1,0.168561596261483
2020-01-24,1,-0.823321207825143
2020-01-27,0,-0.023438739927744
2020-01-28,0,0.449635381621778
2020-01-29,0,-0.29867597854723
2020-01-30,0,0.765638180792282
2020-01-31,1,-1.93318719579747
2020-02-03,3,0.28305434565752
2020-02-04,0,0.386420199646369
2020-02-05,0,0.833495991046765
2020-02-06,0,-0.0299776307667853
2020-02-07,1,-0.629666759085626
2020-02-10,0,0.969662356366435
2020-02-11,0,-0.389136567303066
2020-02-12,1,0.491961879500449
2020-02-13,1,-0.0432123489478626
2020-02-14,0,-0.143985473058003
2020-02-18,5,-0.17276365153855
2020-02-19,3,0.120527962282554
2020-02-20,1,-0.26034048726373
2020-02-21,5,-0.52877649586417
2020-02-24,4,-1.55663517813127
2020-02-25,4,-3.41073520783661
2020-02-26,8,-0.743276928186345
2020-02-27,5,-2.86270074643746
2020-02-28,4,0.548181440815354
2020-03-02,36,4.34852607470504
2020-03-03,64,-3.15763081658756
2020-03-04,67,2.68036907664132
2020-03-05,78,-2.06449329482092
2020-03-06,121,1.60100026672208
2020-03-09,420,-4.56675560051152
2020-03-10,493,2.31120925857768
2020-03-11,514,-4.27322012157874
2020-03-12,748,-4.43589300919417
2020-03-13,911,5.51474436397495
2020-03-16,2349,-3.48516292315583
2020-03-17,3222,3.66245994420867
2020-03-18,4903,-1.43530858119076
2020-03-19,6174,1.29692319872759
2020-03-20,7437,-5.32840570479161
2020-03-23,10728,-2.29357653523478
2020-03-24,11351,4.982813774738
2020-03-25,14160,0.71357517265754
2020-03-26,18772,5.04830825614228
2020-03-27,20039,-1.19501499419824
2020-03-30,15831,2.99498759584504
2020-03-31,23297,-1.31148456306211
2020-04-01,28347,-1.33728232122854
2020-04-02,30045,2.85300387233867
2020-04-03,31838,-1.09649895494348
2020-04-06,28584,4.54677248574812
2020-04-07,30225,-3.7539341576654
2020-04-08,33682,2.35918801300108
