"Date","Daily cases","Closing price"
2020-01-22,0,29186.27
2020-01-23,1,29160.09
2020-01-24,1,28989.73
2020-01-27,0,28535.8
2020-01-28,0,28722.85
2020-01-29,0,28734.45
2020-01-30,0,28859.44
2020-01-31,1,28256.03
2020-02-03,3,28399.81
2020-02-04,0,28807.63
2020-02-05,0,29290.85
2020-02-06,0,29379.77
2020-02-07,1,29102.51
2020-02-10,0,29276.82
2020-02-11,0,29276.34
2020-02-12,1,29551.42
2020-02-13,1,29423.31
2020-02-14,0,29398.08
2020-02-18,5,29232.19
2020-02-19,3,29348.03
2020-02-20,1,29219.98
2020-02-21,5,28992.41
2020-02-24,4,27960.8
2020-02-25,4,27081.36
2020-02-26,8,26957.59
2020-02-27,5,25766.64
2020-02-28,4,25409.36
2020-03-02,36,26703.32
2020-03-03,64,25917.41
2020-03-04,67,27090.86
2020-03-05,78,26121.28
2020-03-06,121,25864.78
2020-03-09,420,23851.02
2020-03-10,493,25018.16
2020-03-11,514,23553.22
2020-03-12,748,21200.62
2020-03-13,911,23185.62
2020-03-16,2349,20188.52
2020-03-17,3222,21237.38
2020-03-18,4903,19898.92
2020-03-19,6174,20087.19
2020-03-20,7437,19173.98
2020-03-23,10728,18591.93
2020-03-24,11351,20704.91
2020-03-25,14160,21200.55
2020-03-26,18772,22552.17
2020-03-27,20039,21636.78
2020-03-30,15831,22327.48
2020-03-31,23297,21917.16
2020-04-01,28347,20943.51
2020-04-02,30045,21413.44
2020-04-03,31838,21052.53
2020-04-06,28584,22679.99
2020-04-07,30225,22653.86
2020-04-08,33682,23433.57
2020-04-09,34988,23719.37
2020-04-13,24932,23390.77
2020-04-14,25186,23949.76
2020-04-15,25379,23504.35
2020-04-16,31820,23537.68
2020-04-17,29778,24242.49
2020-04-20,25811,23650.44
2020-04-21,25455,23018.88
2020-04-22,31434,23475.82
2020-04-23,32997,23515.26
2020-04-24,34130,23775.27
2020-04-27,24218,24133.78
2020-04-28,23487,24101.55
2020-04-29,27205,24633.86
2020-04-30,32425,24345.72
2020-05-01,30225,23723.69
2020-05-04,21179,23749.76
2020-05-05,23207,23883.09
2020-05-06,24303,23664.64
2020-05-07,30615,23875.89
2020-05-08,28046,24331.32
2020-05-11,19299,24221.99
2020-05-12,24260,23764.78
2020-05-13,17740,23247.97
2020-05-14,34532,23625.34
2020-05-15,27118,23685.42
2020-05-18,24690,24597.37
2020-05-19,20691,24206.86
2020-05-20,24490,24575.9
2020-05-21,25523,24474.12
2020-05-22,26029,24465.16
2020-05-26,16954,24995.11
2020-05-27,20367,25548.27
2020-05-28,24198,25400.64
2020-05-29,23554,25383.11
2020-06-01,17358,25475.02
2020-06-02,20731,25742.65
2020-06-03,21109,26269.89
2020-06-04,20712,26281.82
2020-06-05,24424,27110.98
2020-06-08,18038,27572.44
2020-06-09,18594,27272.3
2020-06-10,22484,26989.99
2020-06-11,22688,25128.17
2020-06-12,28748,25605.54
2020-06-15,20588,25763.16
2020-06-16,24926,26289.98
2020-06-17,25603,26119.61
2020-06-18,28758,26080.1
2020-06-19,33308,25871.46
2020-06-22,28698,26024.96
2020-06-23,37921,26156.1
2020-06-24,37431,25445.94
2020-06-25,47010,25745.6
2020-06-26,46553,25015.55
2020-06-29,38602,25595.8
2020-06-30,46588,25812.88
