"Date","Daily cases","Closing price"
2020-01-22,0,9383.769531
2020-01-23,1,9402.480469
2020-01-24,1,9314.910156
2020-01-27,0,9139.30957
2020-01-28,0,9269.679688
2020-01-29,0,9275.160156
2020-01-30,0,9298.929688
2020-01-31,1,9150.94043
2020-02-03,3,9273.400391
2020-02-04,0,9467.969727
2020-02-05,0,9508.679688
2020-02-06,0,9572.150391
2020-02-07,1,9520.509766
2020-02-10,0,9628.389648
2020-02-11,0,9638.94043
2020-02-12,1,9725.959961
2020-02-13,1,9711.969727
2020-02-14,0,9731.179688
2020-02-18,5,9732.740234
2020-02-19,3,9817.179688
2020-02-20,1,9750.969727
2020-02-21,5,9576.589844
2020-02-24,4,9221.280273
2020-02-25,4,8965.610352
2020-02-26,8,8980.780273
2020-02-27,5,8566.480469
2020-02-28,4,8567.370117
2020-03-02,36,8952.169922
2020-03-03,64,8684.089844
2020-03-04,67,9018.089844
2020-03-05,78,8738.589844
2020-03-06,121,8575.620117
2020-03-09,420,7950.680176
2020-03-10,493,8344.25
2020-03-11,514,7952.049805
2020-03-12,748,7201.799805
2020-03-13,911,7874.879883
2020-03-16,2349,6904.589844
2020-03-17,3222,7334.779785
2020-03-18,4903,6989.839844
2020-03-19,6174,7150.580078
2020-03-20,7437,6879.52002
2020-03-23,10728,6860.669922
2020-03-24,11351,7417.859863
2020-03-25,14160,7384.299805
2020-03-26,18772,7797.540039
2020-03-27,20039,7502.379883
2020-03-30,15831,7774.149902
2020-03-31,23297,7700.100098
2020-04-01,28347,7360.580078
2020-04-02,30045,7487.310059
2020-04-03,31838,7373.080078
2020-04-06,28584,7913.240234
2020-04-07,30225,7887.259766
2020-04-08,33682,8090.899902
2020-04-09,34988,8153.580078
2020-04-13,24932,8192.419922
2020-04-14,25186,8515.740234
2020-04-15,25379,8393.179688
2020-04-16,31820,8532.360352
2020-04-17,29778,8650.139648
2020-04-20,25811,8560.730469
2020-04-21,25455,8263.230469
2020-04-22,31434,8495.379883
2020-04-23,32997,8494.75
2020-04-24,34130,8634.519531
2020-04-27,24218,8730.160156
2020-04-28,23487,8607.730469
2020-04-29,27205,8914.709961
2020-04-30,32425,8889.549805
2020-05-01,30225,8604.950195
2020-05-04,21179,8710.709961
2020-05-05,23207,8809.120117
2020-05-06,24303,8854.389648
2020-05-07,30615,8979.660156
2020-05-08,28046,9121.320313
2020-05-11,19299,9192.339844
2020-05-12,24260,9002.549805
2020-05-13,17740,8863.169922
2020-05-14,34532,8943.719727
2020-05-15,27118,9014.55957
2020-05-18,24690,9234.830078
2020-05-19,20691,9185.099609
2020-05-20,24490,9375.780273
2020-05-21,25523,9284.879883
2020-05-22,26029,9324.589844
2020-05-26,16954,9340.219727
2020-05-27,20367,9412.360352
2020-05-28,24198,9368.990234
2020-05-29,23554,9489.870117
2020-06-01,17358,9552.049805
2020-06-02,20731,9608.379883
2020-06-03,21109,9682.910156
2020-06-04,20712,9615.80957
2020-06-05,24424,9814.080078
2020-06-08,18038,9924.75
2020-06-09,18594,9953.75
2020-06-10,22484,10020.349609
2020-06-11,22688,9492.730469
2020-06-12,28748,9588.80957
2020-06-15,20588,9726.019531
2020-06-16,24926,9895.870117
2020-06-17,25603,9910.530273
2020-06-18,28758,9943.049805
2020-06-19,33308,9946.120117
2020-06-22,28698,10056.480469
2020-06-23,37921,10131.370117
2020-06-24,37431,9909.169922
2020-06-25,47010,10017
2020-06-26,46553,9757.219727
2020-06-29,38602,9874.150391
2020-06-30,46588,10058.769531
2020-07-01,59741,10154.629883
2020-07-02,55608,10207.629883
2020-07-06,51214,10433.650391
2020-07-07,56061,10343.889648
2020-07-08,65379,10492.5
2020-07-09,62315,10547.75
2020-07-10,68569,10617.44043
2020-07-13,56542,10390.839844
2020-07-14,65003,10488.580078
2020-07-15,72309,10550.490234
2020-07-16,70182,10473.830078
2020-07-17,77085,10503.19043
2020-07-20,59017,10767.089844
2020-07-21,63329,10680.360352
2020-07-22,72662,10706.129883
2020-07-23,74060,10461.419922
2020-07-24,73913,10363.179688
2020-07-27,53265,10536.269531
2020-07-28,59193,10402.089844
2020-07-29,65130,10542.94043
2020-07-30,67146,10587.80957
2020-07-31,68823,10745.269531
2020-08-03,45304,10902.799805
2020-08-04,51918,10941.169922
2020-08-05,56251,10998.400391
2020-08-06,55160,11108.070313
2020-08-07,62142,11010.980469
2020-08-10,44149,10968.360352
2020-08-11,59189,10782.820313
2020-08-12,55545,11012.240234
2020-08-13,52153,11042.5
2020-08-14,56242,11019.299805
2020-08-17,41818,11129.730469
2020-08-18,41715,11210.839844
2020-08-19,47290,11146.459961
2020-08-20,47057,11264.950195
2020-08-21,47713,11311.799805
2020-08-24,36026,11379.719727
2020-08-25,40926,11466.469727
