"Date","Daily cases","Percentage Difference"
2020-01-22,0,0.682031721052175
2020-01-23,1,0.801034946165876
2020-01-24,1,1.90336398637796
2020-01-27,0,1.0661362963793
2020-01-28,0,1.15358003676273
2020-01-29,0,0.862088358885616
2020-01-30,0,1.2745474566809
2020-01-31,1,2.18538448151943
2020-02-03,3,1.2039961005572
2020-02-04,0,1.18063037792534
2020-02-05,0,1.26128808295422
2020-02-06,0,0.733496374700382
2020-02-07,1,0.77160577541914
2020-02-10,0,1.41228140274628
2020-02-11,0,1.0090060445658
2020-02-12,1,0.640140539330614
2020-02-13,1,1.01349685375685
2020-02-14,0,0.548479059492475
2020-02-18,5,0.740133950005243
2020-02-19,3,0.624716194471616
2020-02-20,1,1.89044922456128
2020-02-21,5,1.80306979168242
2020-02-24,4,1.69691225355423
2020-02-25,4,4.10576976569024
2020-02-26,8,2.43990974346766
2020-02-27,5,3.91683740358822
2020-02-28,4,3.88776146961731
2020-03-02,36,4.68056968173287
2020-03-03,64,5.28970872899143
2020-03-04,67,2.95089897605782
2020-03-05,78,2.7694502282772
2020-03-06,121,2.79300197637465
2020-03-09,420,3.70864578973481
2020-03-10,493,5.12316691445753
2020-03-11,514,4.12179738047328
2020-03-12,748,6.94519562621587
2020-03-13,911,8.70274211136819
2020-03-16,2349,7.5405532002416
2020-03-17,3222,8.11119270318928
2020-03-18,4903,7.15932534073008
2020-03-19,6174,6.80293199264537
2020-03-20,7437,7.03450144053545
2020-03-23,10728,5.19257749584933
2020-03-24,11351,3.40699665882291
2020-03-25,14160,5.28258447495713
2020-03-26,18772,4.5523730439717
2020-03-27,20039,2.96040595432542
2020-03-30,15831,3.18943846132851
2020-03-31,23297,3.05930035157932
2020-04-01,28347,3.55641527506601
2020-04-02,30045,2.6165371213736
2020-04-03,31838,3.11491859885178
2020-04-06,28584,4.12107950554724
2020-04-07,30225,3.30940536547918
2020-04-08,33682,2.65341314477317
2020-04-09,34988,1.90905689295066
2020-04-13,24932,2.02619213591383
2020-04-14,25186,2.28855409275262
2020-04-15,25379,1.85853375647741
2020-04-16,31820,1.9688125421368
2020-04-17,29778,1.6115504439478
2020-04-20,25811,1.52602459643533
2020-04-21,25455,3.16962049028855
2020-04-22,31434,1.56735579720255
2020-04-23,32997,1.87055810742042
2020-04-24,34130,2.08693655147673
2020-04-27,24218,0.655516745881991
2020-04-28,23487,2.6374453645763
