"Date","Daily cases","Closing price"
2020-01-22,0,3321.75
2020-01-23,1,3325.54
2020-01-24,1,3295.47
2020-01-27,0,3243.63
2020-01-28,0,3276.24
2020-01-29,0,3273.4
2020-01-30,0,3283.66
2020-01-31,1,3225.52
2020-02-03,3,3248.92
2020-02-04,0,3297.59
2020-02-05,0,3334.69
2020-02-06,0,3345.78
2020-02-07,1,3327.71
2020-02-10,0,3352.09
2020-02-11,0,3357.75
2020-02-12,1,3379.45
2020-02-13,1,3373.94
2020-02-14,0,3380.16
2020-02-18,5,3370.29
2020-02-19,3,3386.15
2020-02-20,1,3373.23
2020-02-21,5,3337.75
2020-02-24,4,3225.89
2020-02-25,4,3128.21
2020-02-26,8,3116.39
2020-02-27,5,2978.76
2020-02-28,4,2954.22
2020-03-02,36,3090.23
2020-03-03,64,3003.37
2020-03-04,67,3130.12
2020-03-05,78,3023.94
2020-03-06,121,2972.37
2020-03-09,420,2746.56
2020-03-10,493,2882.23
2020-03-11,514,2741.38
2020-03-12,748,2480.64
2020-03-13,911,2711.02
2020-03-16,2349,2386.13
2020-03-17,3222,2529.19
2020-03-18,4903,2398.1
2020-03-19,6174,2409.39
2020-03-20,7437,2304.92
2020-03-23,10728,2237.4
2020-03-24,11351,2447.33
2020-03-25,14160,2475.56
2020-03-26,18772,2630.07
2020-03-27,20039,2541.47
2020-03-30,15831,2626.65
2020-03-31,23297,2584.59
2020-04-01,28347,2470.5
2020-04-02,30045,2526.9
2020-04-03,31838,2488.65
2020-04-06,28584,2663.68
2020-04-07,30225,2659.41
2020-04-08,33682,2749.98
2020-04-09,34988,2789.82
2020-04-13,24932,2761.63
2020-04-14,25186,2846.06
2020-04-15,25379,2783.36
2020-04-16,31820,2799.55
2020-04-17,29778,2874.56
2020-04-20,25811,2823.16
2020-04-21,25455,2736.56
2020-04-22,31434,2799.31
2020-04-23,32997,2797.8
2020-04-24,34130,2836.74
2020-04-27,24218,2878.48
2020-04-28,23487,2863.39
2020-04-29,27205,2939.51
2020-04-30,32425,2912.43
2020-05-01,30225,2830.71
2020-05-04,21179,2842.74
2020-05-05,23207,2868.44
2020-05-06,24303,2848.42
2020-05-07,30615,2881.19
2020-05-08,28046,2929.8
2020-05-11,19299,2930.32
2020-05-12,24260,2870.12
2020-05-13,17740,2820
2020-05-14,34532,2852.5
2020-05-15,27118,2863.7
2020-05-18,24690,2953.91
2020-05-19,20691,2922.94
2020-05-20,24490,2971.61
2020-05-21,25523,2948.51
2020-05-22,26029,2955.45
2020-05-26,16954,2991.77
2020-05-27,20367,3036.13
2020-05-28,24198,3029.73
2020-05-29,23554,3044.31
2020-06-01,17358,3055.73
2020-06-02,20731,3080.82
2020-06-03,21109,3122.87
2020-06-04,20712,3112.35
2020-06-05,24424,3193.93
2020-06-08,18038,3232.39
2020-06-09,18594,3207.18
2020-06-10,22484,3190.14
2020-06-11,22688,3002.1
2020-06-12,28748,3041.31
2020-06-15,20588,3066.59
2020-06-16,24926,3124.74
2020-06-17,25603,3113.49
2020-06-18,28758,3115.34
2020-06-19,33308,3097.74
2020-06-22,28698,3117.86
2020-06-23,37921,3131.29
2020-06-24,37431,3050.33
2020-06-25,47010,3083.76
2020-06-26,46553,3009.05
2020-06-29,38602,3053.24
2020-06-30,46588,3100.29
2020-07-01,59741,3115.86
2020-07-02,55608,3130.01
2020-07-06,51214,3179.72
2020-07-07,56061,3145.32
2020-07-08,65379,3169.94
2020-07-09,62315,3152.05
2020-07-10,68569,3185.04
2020-07-13,56542,3155.22
2020-07-14,65003,3197.52
2020-07-15,72309,3226.56
2020-07-16,70182,3215.57
2020-07-17,77085,3224.73
2020-07-20,59017,3251.84
2020-07-21,63329,3257.3
2020-07-22,72662,3276.02
2020-07-23,74060,3235.66
2020-07-24,73913,3215.63
2020-07-27,53265,3239.41
2020-07-28,59193,3218.44
2020-07-29,65130,3258.44
2020-07-30,67146,3246.22
2020-07-31,68823,3271.12
2020-08-03,45304,3294.61
2020-08-04,51918,3306.51
2020-08-05,56251,3327.77
2020-08-06,55160,3349.16
2020-08-07,62142,3351.28
2020-08-10,44149,3360.47
2020-08-11,59189,3333.69
2020-08-12,55545,3380.35
2020-08-13,52153,3373.43
2020-08-14,56242,3372.85
2020-08-17,41818,3381.99
2020-08-18,41715,3389.78
2020-08-19,47290,3374.85
2020-08-20,47057,3385.51
2020-08-21,47713,3397.16
2020-08-24,36026,3431.28
2020-08-25,40926,3443.62
2020-08-26,47495,3478.73
2020-08-27,47226,3484.55
2020-08-28,46938,3508.01
2020-08-31,39567,3500.31
2020-09-01,38841,3526.65
2020-09-02,42790,3580.84
2020-09-03,45576,3455.06
2020-09-04,51293,3426.96
2020-09-08,28618,3331.84
2020-09-09,35564,3398.96
2020-09-10,39099,3339.19
2020-09-11,44600,3340.97
2020-09-14,34758,3383.54
2020-09-15,37229,3401.2
2020-09-16,44921,3385.49
2020-09-17,45396,3357.01
2020-09-18,48182,3319.47
2020-09-21,41636,3281.06
2020-09-22,50109,3315.57
2020-09-23,42949,3236.92
2020-09-24,46409,3246.59
2020-09-25,50220,3298.46
2020-09-28,39174,3351.6
2020-09-29,38935,3335.47
